ANO;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;NUM_EMP;HABITACIONES;CAMAS
2024;4;138188;50370;50;ACTIVO;GUAPE TOURS;META;LA URIBE;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;3;138189;50001;50;ACTIVO;HOTEL VILLALEO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;8;14
2024;4;138238;50001;50;ACTIVO;HOTEL SELECTA COLONIAL;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;8;14
2024;4;138247;50400;50;ACTIVO;NÁDUR GÜEJAR;META;LEJANIAS;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;GLAMPING;0;8;14
2024;4;138251;50001;50;ACTIVO;RGS ACTIVIDADES INMOBILIARIAS SAS;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;0;1;5
2024;4;139334;50568;50;ACTIVO;HOTEL LAS HAMACAS ISSP;META;PUERTO GAITAN (MANACACIAS);ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;39;120
2024;3;139341;50001;50;ACTIVO;SONIA MIREYA RODRIGUEZ RODRIGUEZ;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;OTRO TIPO DE VIVIENDA TURÍSTICA;0;8;14
2024;3;139379;50689;50;ACTIVO;CESAR DANIEL REY ESPITIA;META;SAN MARTIN;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;8;14
2024;4;139381;50568;50;ACTIVO;HOTEL CASA LA BOMBONERA;META;PUERTO GAITAN (MANACACIAS);ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;8;14
2024;2;139410;50001;50;ACTIVO;QUINTERO REYES MAURICIO ALBERTO;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;4;12
2024;3;139674;50001;50;ACTIVO;MARIA ADELAIDA ARANZA JIMENEZ;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;1;12
2024;2;139719;50226;50;ACTIVO;D' LA CUMBRE COFFEE HOUSE;META;CUMARAL;ESTABLECIMIENTOS DE GASTRONOMÍA;CAFÉ O CAFETERÍA;0;0;0
2024;3;139809;50001;50;ACTIVO;GLORIA ESPERANZA FLORIDO;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;3;3
2024;3;139816;50606;50;ACTIVO;JUANA ISABEL AMEZQUITA GONZALEZ;META;RESTREPO;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;1;6
2024;1;139831;50568;50;ACTIVO;HOTEL PASAJE LLANERO;META;PUERTO GAITAN (MANACACIAS);ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;11;11
